G141 grating,
Wavelength,Transmission
,
0.9950,0.00E+00
0.9951,0.00E+00
0.9952,0.00E+00
0.9953,1.55E-03
0.9954,1.56E-03
0.9955,1.57E-03
0.9956,1.59E-03
0.9957,1.60E-03
0.9958,1.61E-03
0.9959,1.62E-03
0.9960,1.64E-03
0.9961,1.65E-03
0.9962,1.66E-03
0.9963,1.67E-03
0.9964,1.69E-03
0.9965,1.70E-03
0.9966,1.71E-03
0.9967,1.72E-03
0.9968,1.74E-03
0.9969,1.75E-03
0.9970,1.76E-03
0.9971,1.77E-03
0.9972,1.78E-03
0.9973,1.80E-03
0.9974,1.81E-03
0.9975,1.82E-03
0.9976,1.83E-03
0.9977,1.85E-03
0.9978,1.86E-03
0.9979,1.87E-03
0.9980,1.88E-03
0.9981,1.90E-03
0.9982,1.91E-03
0.9983,1.92E-03
0.9984,1.94E-03
0.9985,1.95E-03
0.9986,1.96E-03
0.9987,1.97E-03
0.9988,1.99E-03
0.9989,2.00E-03
0.9990,2.01E-03
0.9991,2.03E-03
0.9992,2.04E-03
0.9993,2.05E-03
0.9994,2.06E-03
0.9995,2.08E-03
0.9996,2.09E-03
0.9997,2.10E-03
0.9998,2.12E-03
0.9999,2.13E-03
1.0000,2.14E-03
1.0001,2.16E-03
1.0002,2.17E-03
1.0003,2.18E-03
1.0004,2.20E-03
1.0005,2.21E-03
1.0006,2.22E-03
1.0007,2.24E-03
1.0008,2.25E-03
1.0009,2.26E-03
1.0010,2.27E-03
1.0011,2.28E-03
1.0012,2.29E-03
1.0013,2.30E-03
1.0014,2.31E-03
1.0015,2.32E-03
1.0016,2.33E-03
1.0017,2.34E-03
1.0018,2.35E-03
1.0019,2.36E-03
1.0020,2.37E-03
1.0021,2.38E-03
1.0022,2.39E-03
1.0023,2.40E-03
1.0024,2.41E-03
1.0025,2.42E-03
1.0026,2.43E-03
1.0027,2.44E-03
1.0028,2.45E-03
1.0029,2.46E-03
1.0030,2.47E-03
1.0031,2.48E-03
1.0032,2.49E-03
1.0033,2.50E-03
1.0034,2.51E-03
1.0035,2.52E-03
1.0036,2.53E-03
1.0037,2.54E-03
1.0038,2.55E-03
1.0039,2.55E-03
1.0040,2.56E-03
1.0041,2.57E-03
1.0042,2.58E-03
1.0043,2.59E-03
1.0044,2.60E-03
1.0045,2.61E-03
1.0046,2.61E-03
1.0047,2.62E-03
1.0048,2.63E-03
1.0049,2.64E-03
1.0050,2.65E-03
1.0051,2.66E-03
1.0052,2.66E-03
1.0053,2.67E-03
1.0054,2.68E-03
1.0055,2.69E-03
1.0056,2.69E-03
1.0057,2.70E-03
1.0058,2.71E-03
1.0059,2.71E-03
1.0060,2.72E-03
1.0061,2.73E-03
1.0062,2.73E-03
1.0063,2.74E-03
1.0064,2.74E-03
1.0065,2.75E-03
1.0066,2.76E-03
1.0067,2.76E-03
1.0068,2.77E-03
1.0069,2.77E-03
1.0070,2.78E-03
1.0071,2.78E-03
1.0072,2.79E-03
1.0073,2.79E-03
1.0074,2.80E-03
1.0075,2.80E-03
1.0076,2.81E-03
1.0077,2.81E-03
1.0078,2.82E-03
1.0079,2.82E-03
1.0080,2.83E-03
1.0081,2.83E-03
1.0082,2.83E-03
1.0083,2.84E-03
1.0084,2.84E-03
1.0085,2.85E-03
1.0086,2.85E-03
1.0087,2.85E-03
