#λ,Transmission
#μm,
0.4,3.31043760704102E-006
0.405,4.55569527121509E-006
0.41,6.17740229780546E-006
0.415,8.2711679450911E-006
0.42,1.0943633222708E-005
0.425,1.43286554309782E-005
0.43,1.85664437400011E-005
0.435,2.38423184830354E-005
0.44,3.03502131263778E-005
0.445,3.83036955440653E-005
0.45,4.7972634023679E-005
0.455,5.96345208565047E-005
0.46,0.000073582
0.465,9.01871049336684E-005
0.47,0.0001098151
0.475,0.0001328776
0.48,0.0001598288
0.485,0.0001911424
0.49,0.0002273255
0.495,0.00026898
0.5,0.0003166073
0.505,0.0003708856
0.51,0.0004324514
0.515,0.0005019179
0.52,0.0005800895
0.525,0.0006676555
0.53,0.0007652771
0.535,0.0008739161
0.54,0.0009944977
0.545,0.0011274998
0.55,0.0012738974
0.555,0.0014345237
0.56,0.001610064
0.58,0.0024814843
0.6,0.0036654618
0.65,0.0083392984
0.7,0.0160283203
0.75,0.0271969703
0.8,0.0419764059
0.85,0.0602036419
0.9,0.0814646944
0.95,0.1052795809
1,0.1310770244
1.05,0.1582726767
1.1,0.1862854019
1.15,0.2148431872
1.2,0.2435052574
1.25,0.2719456467
1.3,0.2998645189
1.4,0.3537149581
1.5,0.4042502023
1.6,0.4499706401
1.7,0.4918998903
1.8,0.5303701627
1.9,0.5652796433
2,0.5968282223
2.1,0.6254447013
2.2,0.6517612907
2.3,0.6755078454
2.4,0.6968073346
2.5,0.7168853357
2.51256,0.7201016749
2.52525,0.7224295092
2.53807,0.7250071757
2.55102,0.727582685
2.5641,0.7300289614
2.57732,0.7321194371
2.59067,0.7339969895
2.60417,0.7363127792
2.6178,0.7391093381
2.63158,0.7416622392
2.6455,0.7437828998
2.65957,0.7457465112
2.6738,0.7477267813
2.68817,0.7497175176
2.7027,0.7516912327
2.71739,0.7536176238
2.73224,0.7555291521
2.74725,0.7573502431
2.76243,0.7589342483
2.77778,0.7604311122
2.7933,0.7619965238
2.80899,0.7635848077
2.82486,0.7653702319
2.84091,0.7675352435
2.85714,0.7698105256
2.87356,0.7719042385
2.89017,0.7738563221
2.90698,0.7757663379
2.92398,0.7777710299
2.94118,0.7799968589
2.95858,0.7823620406
2.97619,0.7846938203
2.99401,0.7869263935
3.01205,0.7891369937
3.0303,0.7914698
3.04878,0.7939724569
3.06748,0.7965134965
3.08642,0.7989443555
3.10559,0.8011481439
3.125,0.8031764794
3.14465,0.8051751523
3.16456,0.8072684083
3.18471,0.8094637504
3.20513,0.811717661
3.22581,0.8140130479
3.24675,0.816300179
3.26797,0.8184921661
3.28947,0.8206058555
3.31126,0.8226719358
3.33333,0.8246955699
3.3557,0.8267143215
3.37838,0.8288256387
3.40136,0.8310011069
3.42466,0.8330665062
3.44828,0.8349745969
3.47222,0.8368942689
3.4965,0.8389290572
3.52113,0.8410489015
3.5461,0.8431291309
3.57143,0.8451191366
3.59712,0.8469966627
3.62319,0.848811017
3.64964,0.850706733
3.67647,0.8526718397
3.7037,0.8546166709
3.73134,0.856508902
3.7594,0.8584079937
3.78788,0.8602707357
3.81679,0.8620550375
3.84615,0.8637592212
3.87597,0.8654934194
3.90625,0.8673374396
3.93701,0.8691834119
3.96825,0.8709753389
4,0.8726878942
4.03226,0.8744306861
4.06504,0.8762328243
4.09836,0.8780361622
4.13223,0.8797668247
4.16667,0.8814289072
4.20168,0.8829799605
4.23729,0.8842201221
4.2735,0.885551423
4.31034,0.8879359022
4.34783,0.8897652548
4.38596,0.8915083709
4.42478,0.8931831469
4.46429,0.8948212919
4.5045,0.8964528437
4.54545,0.8980808715
4.58716,0.8997072081
4.62963,0.9013097248
4.6729,0.9029024683
4.71698,0.9044643057
4.7619,0.9060022953
4.80769,0.9075530031
4.85437,0.9091172259
4.90196,0.9106626796
4.9505,0.9121645068
5,0.9136267309
5.02513,0.9143507074
5.05051,0.9150851339
5.07614,0.9158156377
5.10204,0.9165688415
5.12821,0.917300995
5.15464,0.9180441814
5.18135,0.9187864648
5.20833,0.9195277611
5.2356,0.9202668008
5.26316,0.9209915312
5.29101,0.9217068564
5.31915,0.922419796
5.34759,0.9231141488
5.37634,0.9238204636
5.40541,0.9245180653
5.43478,0.9252196493
5.46448,0.9259246755
5.49451,0.9266286981
5.52486,0.9273260502
5.55556,0.9280343503
5.58659,0.9287244718
5.61798,0.9294221291
5.64972,0.930099942
5.68182,0.9307657775
5.71429,0.931429346
5.74713,0.9320720691
5.78035,0.9327249997
5.81395,0.9333725851
5.84795,0.9340193054
5.88235,0.9346516438
5.91716,0.9352888207
5.95238,0.9358917344
5.98802,0.9364757368
6.0241,0.9370622568
6.06061,0.9376353772
6.09756,0.9382105719
6.13497,0.9387955898
6.17284,0.9394157856
6.21118,0.940037759
6.25,0.9406589002
6.28931,0.9412716937
6.32911,0.9418535832
6.36943,0.9423969251
6.41026,0.9428995547
6.45161,0.9433895536
6.49351,0.9438757544
6.53595,0.9444086271
6.57895,0.9449972787
6.62252,0.9456065782
6.66667,0.9462521806
6.71141,0.9469012666
6.75676,0.9475253145
6.80272,0.9481200199
