# Freq,Yaw,Pitch
# Hz,deg**2/Hz,deg**2/Hz
0.00E+00,0.00E+00,0.00E+00
0.000137361,0.00E+00,0.00E+00
0.000137361,6.39E-10,4.33E-11
0.000204831,4.67E-11,8.86E-12
0.000305442,3.77E-11,2.07E-11
0.000455472,2.03E-10,1.01E-10
0.000679194,3.86E-10,3.84E-10
0.001012808,2.39E-10,2.32E-10
0.001510289,1.79E-10,3.06E-10
0.002252127,4.35E-10,6.75E-10
0.003358348,5.83E-10,6.06E-10
0.005007934,1.09E-09,8.21E-10
0.007467779,1.33E-09,2.24E-09
0.011135874,5.91E-09,4.76E-09
0.016605701,7.92E-09,1.10E-08
0.024762249,1.48E-08,1.17E-08
0.03692521,9.80E-09,9.70E-09
0.055062491,5.11E-09,4.40E-09
0.082108616,2.10E-09,1.79E-09
0.122439519,6.15E-10,5.54E-10
0.182580543,2.16E-10,1.75E-10
0.272262217,9.44E-11,7.30E-11
0.4059946,5.21E-11,4.50E-11
0.605414946,2.75E-11,2.85E-11
0.902788502,1.85E-11,1.86E-11
1.346228872,9.76E-12,1.04E-11
2.007482563,3.62E-12,4.74E-12
2.993537223,7.45E-13,1.91E-12
4.463931728,5.01E-13,1.85E-12
6.656568798,4.37E-13,1.61E-12
