# lambda [um], beta [deg], x [micron]
4.000000e-01,1.495055e+00,1.487675e+03
4.050000e-01,1.485846e+00,1.478507e+03
4.100000e-01,1.476986e+00,1.469687e+03
4.150000e-01,1.468457e+00,1.461196e+03
4.200000e-01,1.460243e+00,1.453019e+03
4.250000e-01,1.452327e+00,1.445139e+03
4.300000e-01,1.444695e+00,1.437541e+03
4.350000e-01,1.437332e+00,1.430212e+03
4.400000e-01,1.430226e+00,1.423139e+03
4.450000e-01,1.423365e+00,1.416308e+03
4.500000e-01,1.416737e+00,1.409710e+03
4.550000e-01,1.410330e+00,1.403333e+03
4.600000e-01,1.404136e+00,1.397167e+03
4.650000e-01,1.398143e+00,1.391202e+03
4.700000e-01,1.392344e+00,1.385429e+03
4.750000e-01,1.386729e+00,1.379839e+03
4.800000e-01,1.381290e+00,1.374426e+03
4.850000e-01,1.376020e+00,1.369180e+03
4.900000e-01,1.370911e+00,1.364094e+03
4.950000e-01,1.365957e+00,1.359163e+03
5.000000e-01,1.361151e+00,1.354379e+03
5.050000e-01,1.356486e+00,1.349736e+03
5.100000e-01,1.351958e+00,1.345228e+03
5.150000e-01,1.347560e+00,1.340850e+03
5.200000e-01,1.343287e+00,1.336597e+03
5.250000e-01,1.339134e+00,1.332463e+03
5.300000e-01,1.335096e+00,1.328444e+03
5.350000e-01,1.331169e+00,1.324536e+03
5.400000e-01,1.327349e+00,1.320733e+03
5.450000e-01,1.323631e+00,1.317033e+03
5.500000e-01,1.320012e+00,1.313430e+03
5.550000e-01,1.316487e+00,1.309922e+03
5.600000e-01,1.313054e+00,1.306504e+03
5.650000e-01,1.309708e+00,1.303174e+03
5.700000e-01,1.306447e+00,1.299928e+03
5.750000e-01,1.303267e+00,1.296763e+03
5.800000e-01,1.300166e+00,1.293676e+03
5.850000e-01,1.297141e+00,1.290665e+03
5.900000e-01,1.294188e+00,1.287726e+03
5.950000e-01,1.291306e+00,1.284858e+03
6.000000e-01,1.288492e+00,1.282057e+03
6.050000e-01,1.285744e+00,1.279321e+03
6.100000e-01,1.283059e+00,1.276649e+03
6.150000e-01,1.280435e+00,1.274037e+03
6.200000e-01,1.277870e+00,1.271484e+03
6.250000e-01,1.275362e+00,1.268988e+03
6.300000e-01,1.272910e+00,1.266547e+03
6.350000e-01,1.270511e+00,1.264159e+03
6.400000e-01,1.268163e+00,1.261823e+03
6.450000e-01,1.265866e+00,1.259536e+03
6.500000e-01,1.263617e+00,1.257297e+03
6.550000e-01,1.261414e+00,1.255105e+03
6.600000e-01,1.259257e+00,1.252958e+03
6.650000e-01,1.257144e+00,1.250855e+03
6.700000e-01,1.255073e+00,1.248794e+03
6.750000e-01,1.253043e+00,1.246773e+03
6.800000e-01,1.251053e+00,1.244793e+03
6.850000e-01,1.249102e+00,1.242851e+03
6.900000e-01,1.247188e+00,1.240946e+03
6.950000e-01,1.245311e+00,1.239077e+03
7.000000e-01,1.243468e+00,1.237243e+03
7.050000e-01,1.241660e+00,1.235443e+03
7.100000e-01,1.239885e+00,1.233676e+03
7.150000e-01,1.238141e+00,1.231941e+03
7.200000e-01,1.236429e+00,1.230238e+03
7.250000e-01,1.234748e+00,1.228564e+03
7.300000e-01,1.233095e+00,1.226919e+03
7.350000e-01,1.231472e+00,1.225303e+03
7.400000e-01,1.229875e+00,1.223714e+03
7.450000e-01,1.228306e+00,1.222153e+03
7.500000e-01,1.226763e+00,1.220617e+03
7.550000e-01,1.225245e+00,1.219106e+03
7.600000e-01,1.223752e+00,1.217620e+03
7.650000e-01,1.222283e+00,1.216158e+03
7.700000e-01,1.220837e+00,1.214719e+03
7.750000e-01,1.219414e+00,1.213302e+03
7.800000e-01,1.218013e+00,1.211908e+03
7.850000e-01,1.216633e+00,1.210534e+03
7.900000e-01,1.215274e+00,1.209182e+03
7.950000e-01,1.213936e+00,1.207850e+03
8.000000e-01,1.212617e+00,1.206537e+03
8.050000e-01,1.211317e+00,1.205243e+03
8.100000e-01,1.210036e+00,1.203968e+03
