# lambda [um], beta [deg], x [micron]
4.000000e-01,7.052996e-02,2.215765e+02
4.050000e-01,7.041742e-02,2.212230e+02
4.100000e-01,7.030348e-02,2.208650e+02
4.150000e-01,7.018814e-02,2.205027e+02
4.200000e-01,7.007141e-02,2.201359e+02
4.250000e-01,6.995328e-02,2.197648e+02
4.300000e-01,6.983375e-02,2.193893e+02
4.350000e-01,6.971282e-02,2.190094e+02
4.400000e-01,6.959049e-02,2.186251e+02
4.450000e-01,6.946677e-02,2.182364e+02
4.500000e-01,6.934164e-02,2.178433e+02
4.550000e-01,6.921512e-02,2.174458e+02
4.600000e-01,6.908721e-02,2.170440e+02
4.650000e-01,6.895789e-02,2.166377e+02
4.700000e-01,6.882717e-02,2.162270e+02
4.750000e-01,6.869506e-02,2.158120e+02
4.800000e-01,6.856155e-02,2.153926e+02
4.850000e-01,6.842664e-02,2.149687e+02
4.900000e-01,6.829034e-02,2.145405e+02
4.950000e-01,6.815263e-02,2.141079e+02
5.000000e-01,6.801353e-02,2.136709e+02
5.050000e-01,6.787303e-02,2.132295e+02
5.100000e-01,6.773113e-02,2.127837e+02
5.150000e-01,6.758783e-02,2.123335e+02
5.200000e-01,6.744314e-02,2.118790e+02
5.250000e-01,6.729704e-02,2.114200e+02
5.300000e-01,6.714955e-02,2.109566e+02
5.350000e-01,6.700066e-02,2.104889e+02
5.400000e-01,6.685038e-02,2.100168e+02
5.450000e-01,6.669869e-02,2.095402e+02
5.500000e-01,6.654561e-02,2.090593e+02
5.550000e-01,6.639113e-02,2.085740e+02
5.600000e-01,6.623525e-02,2.080843e+02
5.650000e-01,6.607797e-02,2.075902e+02
5.700000e-01,6.591930e-02,2.070917e+02
5.750000e-01,6.575923e-02,2.065888e+02
5.800000e-01,6.559775e-02,2.060815e+02
5.850000e-01,6.543489e-02,2.055698e+02
5.900000e-01,6.527062e-02,2.050538e+02
5.950000e-01,6.510495e-02,2.045333e+02
6.000000e-01,6.493789e-02,2.040085e+02
6.050000e-01,6.476943e-02,2.034793e+02
6.100000e-01,6.459957e-02,2.029456e+02
6.150000e-01,6.442831e-02,2.024076e+02
6.200000e-01,6.425566e-02,2.018652e+02
6.250000e-01,6.408161e-02,2.013184e+02
6.300000e-01,6.390615e-02,2.007672e+02
6.350000e-01,6.372930e-02,2.002116e+02
6.400000e-01,6.355106e-02,1.996516e+02
6.450000e-01,6.337141e-02,1.990872e+02
6.500000e-01,6.319037e-02,1.985185e+02
6.550000e-01,6.300793e-02,1.979453e+02
6.600000e-01,6.282409e-02,1.973678e+02
6.650000e-01,6.263885e-02,1.967858e+02
6.700000e-01,6.245222e-02,1.961995e+02
6.750000e-01,6.226418e-02,1.956088e+02
6.800000e-01,6.207475e-02,1.950137e+02
6.850000e-01,6.188392e-02,1.944142e+02
6.900000e-01,6.169170e-02,1.938103e+02
6.950000e-01,6.149807e-02,1.932020e+02
7.000000e-01,6.130305e-02,1.925893e+02
7.050000e-01,6.110662e-02,1.919722e+02
7.100000e-01,6.090881e-02,1.913507e+02
7.150000e-01,6.070959e-02,1.907249e+02
7.200000e-01,6.050897e-02,1.900946e+02
7.250000e-01,6.030696e-02,1.894600e+02
7.300000e-01,6.010355e-02,1.888209e+02
7.350000e-01,5.989874e-02,1.881775e+02
7.400000e-01,5.969253e-02,1.875297e+02
7.450000e-01,5.948493e-02,1.868775e+02
7.500000e-01,5.927592e-02,1.862209e+02
7.550000e-01,5.906552e-02,1.855599e+02
7.600000e-01,5.885372e-02,1.848945e+02
7.650000e-01,5.864052e-02,1.842247e+02
7.700000e-01,5.842593e-02,1.835505e+02
7.750000e-01,5.820993e-02,1.828720e+02
7.800000e-01,5.799254e-02,1.821890e+02
7.850000e-01,5.777375e-02,1.815017e+02
7.900000e-01,5.755356e-02,1.808099e+02
7.950000e-01,5.733198e-02,1.801138e+02
8.000000e-01,5.710900e-02,1.794133e+02
8.050000e-01,5.688461e-02,1.787083e+02
8.100000e-01,5.665883e-02,1.779990e+02
8.150000e-01,5.643166e-02,1.772853e+02
8.200000e-01,5.620308e-02,1.765672e+02
8.250000e-01,5.597311e-02,1.758448e+02
8.300000e-01,5.574173e-02,1.751179e+02
8.350000e-01,5.550896e-02,1.743866e+02
8.400000e-01,5.527480e-02,1.736509e+02
8.450000e-01,5.503923e-02,1.729109e+02
8.500000e-01,5.480227e-02,1.721665e+02
8.550000e-01,5.456391e-02,1.714176e+02
8.600000e-01,5.432415e-02,1.706644e+02
8.650000e-01,5.408299e-02,1.699068e+02
8.700000e-01,5.384043e-02,1.691448e+02
8.750000e-01,5.359648e-02,1.683783e+02
8.800000e-01,5.335113e-02,1.676076e+02
8.850000e-01,5.310438e-02,1.668324e+02
8.900000e-01,5.285623e-02,1.660528e+02
8.950000e-01,5.260668e-02,1.652688e+02
9.000000e-01,5.235574e-02,1.644804e+02
9.050000e-01,5.210340e-02,1.636877e+02
9.100000e-01,5.184966e-02,1.628905e+02
9.150000e-01,5.159452e-02,1.620890e+02
9.200000e-01,5.133798e-02,1.612831e+02
9.250000e-01,5.108005e-02,1.604727e+02
9.300000e-01,5.082071e-02,1.596580e+02
9.350000e-01,5.055998e-02,1.588389e+02
9.400000e-01,5.029786e-02,1.580154e+02
9.450000e-01,5.003433e-02,1.571875e+02
9.500000e-01,4.976941e-02,1.563552e+02
9.550000e-01,4.950308e-02,1.555186e+02
9.600000e-01,4.923536e-02,1.546775e+02
