# lambda [um], beta [deg], x [micron]
1,489.1459327,489.1459327
1.001201201,487.4937143,487.4937143
1.002402402,485.8469579,485.8469579
1.003603604,484.2056335,484.2056335
1.004804805,482.569711,482.569711
1.006006006,480.9391605,480.9391605
1.007207207,479.3139523,479.3139523
1.008408408,477.6940569,477.6940569
1.00960961,476.0794447,476.0794447
1.010810811,474.4700866,474.4700866
1.012012012,472.8659532,472.8659532
1.013213213,471.2670157,471.2670157
1.014414414,469.6732451,469.6732451
1.015615616,468.0846128,468.0846128
1.016816817,466.5010901,466.5010901
1.018018018,464.9226487,464.9226487
1.019219219,463.3492601,463.3492601
1.02042042,461.7808963,461.7808963
1.021621622,460.2175292,460.2175292
1.022822823,458.6591309,458.6591309
1.024024024,457.1056738,457.1056738
1.025225225,455.5571302,455.5571302
1.026426426,454.0134725,454.0134725
1.027627628,452.4746736,452.4746736
1.028828829,450.9407062,450.9407062
1.03003003,449.4115432,449.4115432
1.031231231,447.8871578,447.8871578
1.032432432,446.3675231,446.3675231
1.033633634,444.8526125,444.8526125
1.034834835,443.3423995,443.3423995
1.036036036,441.8368576,441.8368576
1.037237237,440.3359607,440.3359607
1.038438438,438.8396826,438.8396826
1.03963964,437.3479973,437.3479973
1.040840841,435.860879,435.860879
1.042042042,434.378302,434.378302
1.043243243,432.9002406,432.9002406
1.044444444,431.4266694,431.4266694
1.045645646,429.9575631,429.9575631
1.046846847,428.4928964,428.4928964
1.048048048,427.0326443,427.0326443
1.049249249,425.5767818,425.5767818
1.05045045,424.1252842,424.1252842
1.051651652,422.6781267,422.6781267
1.052852853,421.2352847,421.2352847
1.054054054,419.7967338,419.7967338
1.055255255,418.3624498,418.3624498
1.056456456,416.9324084,416.9324084
1.057657658,415.5065855,415.5065855
1.058858859,414.0849572,414.0849572
1.06006006,412.6674997,412.6674997
1.061261261,411.2541893,411.2541893
1.062462462,409.8450025,409.8450025
1.063663664,408.4399157,408.4399157
1.064864865,407.0389057,407.0389057
1.066066066,405.6419493,405.6419493
1.067267267,404.2490233,404.2490233
1.068468468,402.8601049,402.8601049
1.06966967,401.4751711,401.4751711
1.070870871,400.0941993,400.0941993
1.072072072,398.7171668,398.7171668
1.073273273,397.3440512,397.3440512
1.074474474,395.97483,395.97483
1.075675676,394.6094811,394.6094811
1.076876877,393.2479824,393.2479824
1.078078078,391.8903117,391.8903117
1.079279279,390.5364472,390.5364472
1.08048048,389.1863671,389.1863671
1.081681682,387.8400498,387.8400498
1.082882883,386.4974737,386.4974737
1.084084084,385.1586173,385.1586173
1.085285285,383.8234594,383.8234594
1.086486486,382.4919786,382.4919786
1.087687688,381.164154,381.164154
1.088888889,379.8399646,379.8399646
1.09009009,378.5193894,378.5193894
1.091291291,377.2024077,377.2024077
1.092492492,375.8889988,375.8889988
1.093693694,374.5791423,374.5791423
1.094894895,373.2728176,373.2728176
1.096096096,371.9700045,371.9700045
1.097297297,370.6706828,370.6706828
1.098498498,369.3748323,369.3748323
1.0996997,368.0824331,368.0824331
1.100900901,366.7934652,366.7934652
1.102102102,365.507909,365.507909
1.103303303,364.2257446,364.2257446
1.104504505,362.9469527,362.9469527
1.105705706,361.6715136,361.6715136
1.106906907,360.3994081,360.3994081
1.108108108,359.1306169,359.1306169
1.109309309,357.8651209,357.8651209
1.110510511,356.602901,356.602901
1.111711712,355.3439384,355.3439384
1.112912913,354.0882141,354.0882141
1.114114114,352.8357094,352.8357094
1.115315315,351.5864058,351.5864058
1.116516517,350.3402847,350.3402847
1.117717718,349.0973277,349.0973277
1.118918919,347.8575165,347.8575165
1.12012012,346.6208328,346.6208328
1.121321321,345.3872586,345.3872586
1.122522523,344.1567758,344.1567758
1.123723724,342.9293665,342.9293665
1.124924925,341.7050129,341.7050129
1.126126126,340.4836973,340.4836973
1.127327327,339.2654021,339.2654021
1.128528529,338.0501097,338.0501097
1.12972973,336.8378027,336.8378027
1.130930931,335.6284638,335.6284638
1.132132132,334.4220758,334.4220758
1.133333333,333.2186216,333.2186216
1.134534535,332.018084,332.018084
1.135735736,330.8204462,330.8204462
1.136936937,329.6256913,329.6256913
1.138138138,328.4338026,328.4338026
1.139339339,327.2447633,327.2447633
1.140540541,326.0585571,326.0585571
1.141741742,324.8751673,324.8751673
1.142942943,323.6945776,323.6945776
1.144144144,322.5167717,322.5167717
1.145345345,321.3417334,321.3417334
1.146546547,320.1694467,320.1694467
1.147747748,318.9998954,318.9998954
1.148948949,317.8330638,317.8330638
1.15015015,316.6689359,316.6689359
1.151351351,315.5074961,315.5074961
1.152552553,314.3487286,314.3487286
1.153753754,313.192618,313.192618
1.154954955,312.0391488,312.0391488
