# wl, Throughput, emissivity
0.4000,0.0001,0.0000
0.4050,0.0001,0.0000
0.4100,0.0001,0.0000
0.4150,0.0001,0.0000
0.4200,0.0001,0.0000
0.4250,0.0002,0.0000
0.4300,0.0002,0.0000
0.4350,0.0002,0.0000
0.4400,0.0003,0.0000
0.4450,0.0003,0.0000
0.4500,0.0004,0.0000
0.4550,0.0005,0.0000
0.4600,0.0006,0.0000
0.4650,0.0007,0.0000
0.4700,0.0008,0.0000
0.4750,0.0009,0.0000
0.4800,0.0011,0.0000
0.4850,0.0012,0.0000
0.4900,0.0014,0.0000
0.4950,0.0016,0.0000
0.5000,0.0018,0.0000
0.5050,0.0020,0.0000
0.5100,0.0023,0.0000
0.5150,0.0026,0.0000
0.5200,0.0029,0.0000
0.5250,0.0032,0.0000
0.5300,0.0036,0.0000
0.5350,0.0040,0.0000
0.5400,0.0044,0.0000
0.5450,0.0049,0.0000
0.5500,0.0054,0.0000
0.5550,0.0059,0.0000
0.5600,0.0065,0.0000
0.5650,0.0071,0.0000
0.5700,0.0077,0.0000
0.5750,0.0084,0.0000
0.5800,0.0091,0.0000
0.5850,0.0099,0.0000
0.5900,0.0107,0.0000
0.5950,0.0116,0.0000
0.6000,0.0124,0.0000
0.6050,0.0134,0.0000
0.6100,0.0144,0.0000
0.6150,0.0154,0.0000
0.6200,0.0164,0.0000
0.6250,0.0176,0.0000
0.6300,0.0187,0.0000
0.6350,0.0199,0.0000
0.6400,0.0212,0.0000
0.6450,0.0225,0.0000
0.6500,0.0238,0.0000
0.6550,0.0252,0.0000
0.6600,0.0266,0.0000
0.6650,0.0281,0.0000
0.6700,0.0297,0.0000
0.6750,0.0312,0.0000
0.6800,0.0329,0.0000
0.6850,0.0345,0.0000
0.6900,0.0363,0.0000
0.6950,0.0380,0.0000
0.7000,0.0398,0.0000
0.7050,0.0417,0.0000
0.7100,0.0436,0.0000
0.7150,0.0456,0.0000
0.7200,0.0475,0.0000
0.7250,0.0496,0.0000
0.7300,0.0516,0.0000
0.7350,0.0538,0.0000
0.7400,0.0559,0.0000
0.7450,0.0581,0.0000
0.7500,0.0604,0.0000
0.7550,0.0626,0.0000
0.7600,0.0650,0.0000
0.7650,0.0673,0.0000
0.7700,0.0697,0.0000
0.7750,0.0721,0.0000
0.7800,0.0746,0.0000
0.7850,0.0771,0.0000
0.7900,0.0796,0.0000
0.7950,0.0822,0.0000
0.8000,0.0848,0.0000
0.8050,0.0874,0.0000
0.8100,0.0901,0.0000
0.8150,0.0928,0.0000
0.8200,0.0955,0.0000
0.8250,0.0983,0.0000
0.8300,0.1010,0.0000
0.8350,0.1038,0.0000
0.8400,0.1067,0.0000
0.8450,0.1095,0.0000
0.8500,0.1124,0.0000
0.8550,0.1153,0.0000
0.8600,0.1182,0.0000
0.8650,0.1212,0.0000
0.8700,0.1241,0.0000
0.8750,0.1271,0.0000
0.8800,0.1301,0.0000
0.8850,0.1332,0.0000
0.8900,0.1362,0.0000
0.8950,0.1393,0.0000
0.9000,0.1423,0.0000
0.9050,0.1454,0.0000
0.9100,0.1485,0.0000
0.9150,0.1517,0.0000
0.9200,0.1548,0.0000
0.9250,0.1579,0.0000
0.9300,0.1611,0.0000
0.9350,0.1643,0.0000
0.9400,0.1674,0.0000
0.9450,0.1706,0.0000
0.9500,0.1738,0.0000
0.9550,0.1770,0.0000
0.9600,0.1802,0.0000
0.9650,0.1835,0.0000
0.9700,0.1867,0.0000
0.9750,0.1899,0.0000
