# wl, TX, emissivity
0.40,0.00,0.03
0.41,0.00,0.03
0.41,0.00,0.03
0.42,0.00,0.03
0.42,0.00,0.03
0.43,0.00,0.03
0.43,0.00,0.03
0.44,0.00,0.03
0.44,0.00,0.03
0.45,0.00,0.03
0.45,0.00,0.03
0.46,0.00,0.03
0.46,0.00,0.03
0.47,0.00,0.03
0.47,0.00,0.03
0.48,0.00,0.03
0.48,0.00,0.03
0.49,0.00,0.03
0.49,0.00,0.03
0.50,0.00,0.03
0.50,0.00,0.03
0.51,0.00,0.03
0.51,0.00,0.03
0.52,0.00,0.03
0.52,0.00,0.03
0.53,0.00,0.03
0.53,0.00,0.03
0.54,0.00,0.03
0.54,0.00,0.03
0.55,0.00,0.03
0.55,0.00,0.03
0.56,0.00,0.03
0.56,0.13,0.03
0.57,0.45,0.03
0.57,0.77,0.03
0.58,0.90,0.03
0.58,0.90,0.03
0.59,0.90,0.03
0.59,0.90,0.03
0.60,0.90,0.03
0.60,0.90,0.03
0.61,0.90,0.03
0.61,0.90,0.03
0.62,0.90,0.03
0.62,0.90,0.03
0.63,0.90,0.03
0.63,0.90,0.03
0.64,0.90,0.03
0.64,0.90,0.03
0.65,0.90,0.03
0.65,0.90,0.03
0.66,0.90,0.03
0.66,0.90,0.03
0.67,0.90,0.03
0.67,0.90,0.03
0.68,0.90,0.03
0.68,0.90,0.03
0.69,0.90,0.03
0.69,0.90,0.03
0.70,0.90,0.03
0.70,0.90,0.03
0.71,0.90,0.03
0.71,0.90,0.03
0.72,0.90,0.03
0.72,0.90,0.03
0.73,0.90,0.03
0.73,0.90,0.03
0.74,0.90,0.03
0.74,0.90,0.03
0.75,0.90,0.03
0.75,0.90,0.03
0.76,0.90,0.03
0.76,0.90,0.03
0.77,0.90,0.03
0.77,0.90,0.03
0.78,0.90,0.03
0.78,0.90,0.03
0.79,0.90,0.03
0.79,0.90,0.03
0.80,0.90,0.03
0.80,0.90,0.03
0.81,0.90,0.03
0.81,0.90,0.03
0.82,0.90,0.03
0.82,0.90,0.03
0.83,0.90,0.03
0.83,0.90,0.03
0.84,0.90,0.03
0.84,0.90,0.03
0.85,0.90,0.03
0.85,0.90,0.03
0.86,0.90,0.03
0.86,0.90,0.03
0.87,0.90,0.03
0.87,0.90,0.03
0.88,0.90,0.03
0.88,0.90,0.03
0.89,0.90,0.03
0.89,0.90,0.03
0.90,0.90,0.03
0.90,0.90,0.03
0.91,0.90,0.03
0.91,0.90,0.03
0.92,0.90,0.03
0.92,0.90,0.03
0.93,0.90,0.03
0.93,0.90,0.03
0.94,0.90,0.03
0.94,0.90,0.03
0.95,0.90,0.03
0.95,0.90,0.03
0.96,0.90,0.03
0.96,0.90,0.03
0.97,0.90,0.03
0.97,0.90,0.03
0.98,0.90,0.03
0.98,0.90,0.03
0.99,0.90,0.03
0.99,0.90,0.03
1.00,0.90,0.03
1.00,0.90,0.03
1.01,0.90,0.03
1.01,0.90,0.03
1.02,0.90,0.03
1.02,0.90,0.03
1.03,0.90,0.03
1.03,0.90,0.03
1.04,0.90,0.03
1.04,0.90,0.03
1.05,0.90,0.03
1.05,0.90,0.03
1.06,0.90,0.03
1.06,0.90,0.03
1.07,0.90,0.03
1.07,0.90,0.03
1.08,0.90,0.03
1.08,0.90,0.03
1.09,0.90,0.03
1.09,0.90,0.03
1.10,0.90,0.03
1.10,0.90,0.03
1.11,0.90,0.03
1.11,0.90,0.03
1.12,0.90,0.03
1.12,0.90,0.03
1.13,0.90,0.03
1.13,0.90,0.03
1.14,0.90,0.03
1.14,0.90,0.03
1.15,0.90,0.03
1.15,0.90,0.03
1.16,0.90,0.03
1.16,0.90,0.03
1.17,0.90,0.03
1.17,0.90,0.03
1.18,0.90,0.03
1.18,0.90,0.03
1.19,0.90,0.03
1.19,0.90,0.03
1.20,0.90,0.03
1.20,0.90,0.03
1.21,0.90,0.03
1.21,0.90,0.03
1.22,0.90,0.03
1.22,0.90,0.03
1.23,0.90,0.03
1.23,0.90,0.03
1.24,0.90,0.03
1.24,0.90,0.03
1.25,0.90,0.03
1.25,0.90,0.03
1.26,0.90,0.03
