#Wavelength,QE
#μm,none
0.4,0.7
0.405,0.7
0.41,0.7
0.415,0.7
0.42,0.7
0.425,0.7
0.43,0.7
0.435,0.7
0.44,0.7
0.445,0.7
0.45,0.7
0.455,0.7
0.46,0.7
0.465,0.7
0.47,0.7
0.475,0.7
0.48,0.7
0.485,0.7
0.49,0.7
0.495,0.7
0.5,0.7
0.505,0.7
0.51,0.7
0.515,0.7
0.52,0.7
0.525,0.7
0.53,0.7
0.535,0.7
0.54,0.7
0.545,0.7
0.55,0.7
0.555,0.7
0.56,0.7
0.58,0.7
0.6,0.7
0.65,0.7
0.7,0.7
0.75,0.7
0.8,0.7
0.85,0.7
0.9,0.7
0.95,0.7
1,0.7
1.05,0.7
1.1,0.7
1.15,0.7
1.2,0.7
1.25,0.7
1.3,0.7
1.4,0.7
1.5,0.7
1.6,0.7
1.7,0.7
1.8,0.7
1.9,0.7
2,0.7
2.1,0.7
2.2,0.7
2.3,0.7
2.4,0.7
2.5,0.7
2.51256,0.7
2.52525,0.7
2.53807,0.7
2.55102,0.7
2.5641,0.7
2.57732,0.7
2.59067,0.7
2.60417,0.7
2.6178,0.7
2.63158,0.7
2.6455,0.7
2.65957,0.7
2.6738,0.7
2.68817,0.7
2.7027,0.7
2.71739,0.7
2.73224,0.7
2.74725,0.7
2.76243,0.7
2.77778,0.7
2.7933,0.7
2.80899,0.7
2.82486,0.7
2.84091,0.7
2.85714,0.7
2.87356,0.7
2.89017,0.7
2.90698,0.7
2.92398,0.7
2.94118,0.7
2.95858,0.7
2.97619,0.7
2.99401,0.7
3.01205,0.7
3.0303,0.7
3.04878,0.7
3.06748,0.7
3.08642,0.7
3.10559,0.7
3.125,0.7
3.14465,0.7
3.16456,0.7
3.18471,0.7
3.20513,0.7
3.22581,0.7
3.24675,0.7
3.26797,0.7
3.28947,0.7
3.31126,0.7
3.33333,0.7
3.3557,0.7
3.37838,0.7
3.40136,0.7
3.42466,0.7
3.44828,0.7
3.47222,0.7
3.4965,0.7
3.52113,0.7
3.5461,0.7
3.57143,0.7
3.59712,0.7
3.62319,0.7
3.64964,0.7
3.67647,0.7
3.7037,0.7
3.73134,0.7
3.7594,0.7
3.78788,0.7
3.81679,0.7
3.84615,0.7
3.87597,0.7
3.90625,0.7
3.93701,0.7
3.96825,0.7
4,0.7
4.03226,0.7
4.06504,0.7
4.09836,0.7
4.13223,0.7
4.16667,0.7
4.20168,0.7
4.23729,0.7
4.2735,0.7
4.31034,0.7
4.34783,0.7
4.38596,0.7
4.42478,0.7
4.46429,0.7
4.5045,0.7
4.54545,0.7
4.58716,0.7
4.62963,0.7
4.6729,0.7
